Country,GDP,AI_Score,Log_GDP,Expected_AI,Efficiency_Residual,Action
Nepal,1382.33055769304,30.77,7.231526163637775,30.351232463917405,0.4187675360825942,Hold
Nauru,12752.4723855838,46.75,9.453480444382762,51.203231387178,-4.4532313871780005,Hold
New Zealand,49075.9562832927,60.18,10.80112450511462,63.85023890971684,-3.6702389097168435,Hold
Oman,21027.7384778886,58.94,9.953597725010592,55.89659753225414,3.0434024677458567,Hold
Pakistan,1360.32417758419,42.2,7.2154783161961955,30.2006309414323,11.999369058567702,Invest
Panama,18797.1933994045,43.91,9.84146285040787,54.844264320568094,-10.934264320568097,Avoid
Peru,7887.54185920108,54.87,8.973039813865634,46.694521375883404,8.175478624116593,Invest
Philippines,3804.08274131097,51.98,8.243830174562001,39.851230879153455,12.128769120846542,Invest
Papua New Guinea,2966.06830432055,30.41,7.9949925515360665,37.516006481258195,-7.106006481258195,Avoid
Poland,22145.2660647429,63.1,10.005379030949513,56.38254080527296,6.7174591947270414,Invest
Portugal,27634.6183139773,68.28,10.226824552483082,58.460703176386495,9.819296823613506,Invest
Paraguay,6299.99026533713,36.85,8.748303367193849,44.58547521565087,-7.735475215650865,Avoid
Qatar,81816.9797967481,63.59,11.312240078027079,68.6468188701555,-5.056818870155496,Avoid
Romania,18244.4186876321,52.32,9.811614486901306,54.56415142666494,-2.244151426664942,Hold
Russian Federation,14159.3876953125,62.92,9.558133124456292,52.18534771203681,10.734652287963193,Invest
Rwanda,1027.03446826565,45.39,6.934430771454604,27.563131533311356,17.826868466688644,Invest
Saudi Arabia,36156.848337701,67.04,10.495621651905047,60.98323790011768,6.056762099882327,Invest
Sudan,797.283447265625,24.51,6.68121025830664,25.186775767008882,-0.6767757670088805,Hold
Senegal,1698.03387300843,42.58,7.437226315440534,32.281631924012295,10.298368075987703,Invest
Singapore,85412.230345235,81.97,11.355244581996212,69.05039597263263,12.91960402736737,Invest
Solomon Islands,1882.64394148042,29.09,7.540432419688713,33.25017281313239,-4.160172813132387,Hold
Sierra Leone,758.329137378248,24.83,6.631117509574048,24.71667881151034,0.11332118848965678,Hold
El Salvador,5365.44491399171,32.58,8.587734580608991,43.07861245344582,-10.498612453445823,Avoid
San Marino,59879.7173015651,48.08,11.000093117439674,65.7174660286176,-17.637466028617595,Avoid
Serbia,12281.707946167,55.57,9.415866275593999,50.850240052531966,4.7197599474680345,Hold
Sao Tome and Principe,2990.6606143535,26.86,8.003249583236158,37.59349485156881,-10.733494851568814,Avoid
Suriname,5521.97602122638,35.52,8.616491050073279,43.3484784338138,-7.8284784338138,Avoid
Slovak Republic,24614.8734642794,60.73,10.111106151585117,57.37474025094017,3.355259749059826,Hold
Slovenia,32660.4753581346,62.63,10.393920921168524,60.02882423544869,2.6011757645513143,Hold
Sweden,54950.2834725622,72.55,10.914184118554807,64.91125036172954,7.638749638270454,Invest
Eswatini,3755.52111232464,27.05,8.23098233281833,39.73065990947742,-12.680659909477416,Avoid
Seychelles,18262.7115849287,38.11,9.812616641751113,54.573556179962615,-16.463556179962616,Avoid
Chad,949.333453674592,23.44,6.855760110627715,26.82484427462642,-3.3848442746264205,Hold
Togo,1055.01727877926,29.69,6.961312423765869,27.815403233907297,1.8745967660927043,Hold
Thailand,7195.10130919449,63.03,8.881155699721921,45.832232054364574,17.197767945635427,Invest
Tajikistan,1178.47990060249,38.78,7.071980667162856,28.85397279951483,9.926027200485173,Invest
Turkmenistan,6231.91323839698,31.17,8.73743866550197,44.48351508535301,-13.31351508535301,Avoid
Timor-Leste,1502.41147438211,29.77,7.314826745793118,31.132969363034782,-1.3629693630347823,Hold
Tonga,5651.59373063157,39.01,8.639692860582446,43.5662165447855,-4.556216544785499,Hold
Trinidad and Tobago,18308.4536298575,39.44,9.8151181791516,54.59703193535214,-15.157031935352144,Avoid
Tunisia,3951.11683376921,46.07,8.281753560657359,40.20712407321218,5.862875926787822,Invest
Tuvalu,6344.7750188689,37.45,8.755386921500751,44.65195105093711,-7.2019510509371045,Avoid
Uganda,1002.30913917142,33.44,6.910061756188811,27.334439753067862,6.105560246932136,Invest
Ukraine,5139.59814453125,53.29,8.544730173395028,42.675036258970586,10.614963741029413,Invest
Uruguay,23019.4221560046,60.57,10.044093580136517,56.745858693925136,3.824141306074864,Hold
Uzbekistan,2878.96879292451,43.79,7.965187450999593,37.23629959004085,6.5537004099591485,Invest
Viet Nam,4323.35031982451,54.48,8.371785917661148,41.05203552236774,13.427964477632258,Invest
Vanuatu,3482.61458237637,31.91,8.155538607446179,39.02265592674046,-7.112655926740462,Avoid
Samoa,4822.74084650019,31.66,8.481097685782721,42.0778752036444,-10.417875203644403,Avoid
South Africa,6034.27208964673,47.28,8.705210511451236,44.181068973212824,3.0989310267871772,Hold
Zambia,1330.72780576709,32.36,7.193481293925503,29.994199203084555,2.365800796915444,Hold
Zimbabwe,2195.22492079245,30.71,7.6940397898689366,34.691705946986524,-3.981705946986523,Hold
